150,3,Golf,Golf Women's Individual,Gold
151,3,Golf,Golf Women's Individual,
152,11,Sailing,Sailing Mixed Three Person Keelboat,
153,19,Softball,Softball Women's Softball,Silver
154,19,Archery,Archery Women's Individual,
155,11,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
155,21,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
155,1,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
156,19,Volleyball,Volleyball Men's Volleyball,
157,21,Handball,Handball Men's Handball,
157,19,Handball,Handball Men's Handball,
158,19,Taekwondo,Taekwondo Women's Heavyweight,
159,19,Synchronized Swimming,Synchronized Swimming Women's Duet,
159,19,Synchronized Swimming,Synchronized Swimming Women's Team,
159,1,Synchronized Swimming,Synchronized Swimming Women's Team,
160,19,Athletics,"Athletics Men's 5,000 metres",
161,20,Volleyball,Volleyball Men's Volleyball,
162,5,Handball,Handball Men's Handball,
162,12,Handball,Handball Men's Handball,
163,22,Gymnastics,Gymnastics Men's Individual All-Around,
163,22,Gymnastics,Gymnastics Men's Team All-Around,
163,22,Gymnastics,Gymnastics Men's Floor Exercise,
163,22,Gymnastics,Gymnastics Men's Horse Vault,
163,22,Gymnastics,Gymnastics Men's Parallel Bars,
163,22,Gymnastics,Gymnastics Men's Horizontal Bar,
163,22,Gymnastics,Gymnastics Men's Rings,
163,22,Gymnastics,Gymnastics Men's Pommelled Horse,
164,5,Fencing,"Fencing Men's Foil, Individual",
165,21,Taekwondo,Taekwondo Women's Featherweight,Silver
166,23,Athletics,Athletics Men's Marathon,
166,26,Athletics,Athletics Men's 4 x 400 metres Relay,
167,9,Athletics,"Athletics Men's 10,000 metres",
168,26,Athletics,Athletics Men's 100 metres,
169,24,Athletics,"Athletics Women's 3,000 metres",
170,20,Diving,Diving Women's Platform,
171,11,Volleyball,Volleyball Men's Volleyball,
172,11,Shooting,"Shooting Men's Air Rifle, 10 metres",
173,26,Football,Football Men's Football,
174,22,Football,Football Men's Football,
175,9,Athletics,Athletics Men's Marathon,
176,22,Athletics,Athletics Men's Long Jump,
177,11,Cycling,"Cycling Men's Road Race, Individual",
178,22,Boxing,Boxing Men's Featherweight,
178,25,Boxing,Boxing Men's Lightweight,
179,26,Athletics,Athletics Men's 200 metres,
179,26,Athletics,Athletics Men's 4 x 400 metres Relay,
180,11,Synchronized Swimming,Synchronized Swimming Women's Duet,
180,21,Synchronized Swimming,Synchronized Swimming Women's Duet,
181,11,Synchronized Swimming,Synchronized Swimming Women's Duet,
182,5,Hockey,Hockey Men's Hockey,
183,22,Rowing,Rowing Men's Coxed Eights,
184,21,Water Polo,Water Polo Men's Water Polo,
185,16,Fencing,"Fencing Men's Foil, Individual",
185,16,Fencing,"Fencing Men's Foil, Team",
185,16,Fencing,"Fencing Men's epee, Team",
185,9,Fencing,"Fencing Men's Foil, Team",
185,9,Fencing,"Fencing Men's epee, Team",
186,22,Water Polo,Water Polo Men's Water Polo,
187,30,Weightlifting,Weightlifting Men's Flyweight,
188,24,Volleyball,Volleyball Men's Volleyball,
189,25,Boxing,Boxing Men's Featherweight,
190,16,Wrestling,"Wrestling Men's Featherweight, Freestyle",
191,5,Football,Football Men's Football,
192,26,Basketball,Basketball Men's Basketball,
193,16,Water Polo,Water Polo Men's Water Polo,
193,16,Swimming,Swimming Men's 100 metres Freestyle,
193,16,Swimming,Swimming Men's 100 metres Backstroke,
193,9,Water Polo,Water Polo Men's Water Polo,
193,9,Swimming,Swimming Men's 100 metres Freestyle,
193,22,Water Polo,Water Polo Men's Water Polo,
194,22,Athletics,Athletics Men's 100 metres,
195,9,Weightlifting,Weightlifting Men's Light-Heavyweight,
195,22,Weightlifting,Weightlifting Men's Light-Heavyweight,
196,30,Handball,Handball Men's Handball,
197,4,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
198,19,Handball,Handball Men's Handball,
199,24,Basketball,Basketball Men's Basketball,
199,4,Basketball,Basketball Men's Basketball,
200,5,Handball,Handball Men's Handball,
201,21,Water Polo,Water Polo Men's Water Polo,
202,26,Basketball,Basketball Men's Basketball,
202,30,Basketball,Basketball Men's Basketball,
203,19,Volleyball,Volleyball Men's Volleyball,
203,20,Volleyball,Volleyball Men's Volleyball,
204,12,Athletics,Athletics Men's 400 metres,
205,23,Rowing,Rowing Men's Coxed Eights,
206,22,Water Polo,Water Polo Men's Water Polo,
206,23,Water Polo,Water Polo Men's Water Polo,
207,27,Fencing,"Fencing Men's Sabre, Individual",
207,16,Fencing,"Fencing Men's epee, Individual",
207,16,Fencing,"Fencing Men's epee, Team",
207,9,Fencing,"Fencing Men's epee, Individual",
207,9,Fencing,"Fencing Men's epee, Team",
207,9,Fencing,"Fencing Men's Sabre, Individual",
207,9,Fencing,"Fencing Men's Sabre, Team",
208,9,Boxing,Boxing Men's Welterweight,
209,22,Water Polo,Water Polo Men's Water Polo,
210,24,Volleyball,Volleyball Men's Volleyball,
211,22,Fencing,"Fencing Men's Foil, Team",
211,23,Fencing,"Fencing Men's Foil, Individual",
211,23,Fencing,"Fencing Men's Foil, Team",
212,19,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
213,19,Shooting,"Shooting Men's Free Pistol, 50 metres",
213,20,Shooting,"Shooting Men's Air Pistol, 10 metres",
213,20,Shooting,"Shooting Men's Free Pistol, 50 metres",
214,5,Football,Football Men's Football,
215,21,Fencing,"Fencing Men's epee, Team",
216,11,Rowing,Rowing Men's Coxless Fours,
217,11,Boxing,Boxing Men's Light-Flyweight,
218,11,Boxing,Boxing Men's Super-Heavyweight,
219,23,Rowing,Rowing Men's Coxed Eights,
220,22,Rowing,Rowing Men's Coxed Eights,
221,12,Handball,Handball Men's Handball,
222,30,Boxing,Boxing Men's Light-Flyweight,
223,16,Gymnastics,Gymnastics Men's Individual All-Around,
223,16,Gymnastics,Gymnastics Men's Team All-Around,
223,16,Gymnastics,Gymnastics Men's Floor Exercise,
223,16,Gymnastics,Gymnastics Men's Horse Vault,
223,16,Gymnastics,Gymnastics Men's Parallel Bars,
223,16,Gymnastics,Gymnastics Men's Horizontal Bar,
223,16,Gymnastics,Gymnastics Men's Rings,
223,16,Gymnastics,Gymnastics Men's Pommelled Horse,
224,16,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
225,21,Shooting,"Shooting Women's Air Rifle, 10 metres",
225,19,Shooting,"Shooting Women's Air Rifle, 10 metres",
225,20,Shooting,"Shooting Women's Air Rifle, 10 metres",
226,26,Football,Football Men's Football,
227,20,Volleyball,Volleyball Men's Volleyball,
228,20,Boxing,Boxing Men's Lightweight,
229,20,Judo,Judo Men's Half-Middleweight,
230,16,Gymnastics,Gymnastics Men's Individual All-Around,
230,16,Gymnastics,Gymnastics Men's Team All-Around,
230,16,Gymnastics,Gymnastics Men's Floor Exercise,
230,16,Gymnastics,Gymnastics Men's Horse Vault,
230,16,Gymnastics,Gymnastics Men's Parallel Bars,
230,16,Gymnastics,Gymnastics Men's Horizontal Bar,
230,16,Gymnastics,Gymnastics Men's Rings,
230,16,Gymnastics,Gymnastics Men's Pommelled Horse,
231,19,Shooting,"Shooting Men's Air Pistol, 10 metres",
